type,name,info,boong,block_powder,skin_powder,path,island,stage,slot
room,솜사탕 화단,-1,1000,99999999,99999999,cottoncandy_garden_deco,5,15,1
room,솜사탕 바구니,-1,1000,99999999,99999999,cottoncandy_basket_deco,5,20,2
room,솜사탕 나무,-1,1000,99999999,99999999,cottoncandy_bench_deco,5,25,3
room,바람개비 선반,-1,1000,99999999,99999999,cottoncandy_shelf_deco,5,30,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
blockPiece,아이스크림1,아이스크림 섬설명,99999999,100,99999999,store/block/icecream1,,,
blockPiece,아이스크림2,아이스크림 섬설명,99999999,100,99999999,store/block/icecream2,,,
blockPiece,아이스크림3,아이스크림 섬설명,99999999,100,99999999,store/block/icecream3,,,
blockPiece,아이스크림4,아이스크림 섬설명,99999999,100,99999999,store/block/icecream4,,,
blockPiece,아이스크림5,아이스크림 섬설명,99999999,100,99999999,store/block/icecream5,,,
blockPiece,아이스크림6,아이스크림 섬설명,99999999,100,99999999,store/block/icecream6,,,
blockPiece,아이스크림7,아이스크림 섬설명,99999999,100,99999999,store/block/icecream7,,,
blockPiece,아이스크림8,아이스크림 섬설명,99999999,100,99999999,store/block/icecream8,,,
blockPiece,아이스크림9,아이스크림 섬설명,99999999,100,99999999,store/block/icecream9,,,
,,,,,,,,,
blockPiece,파르페1,파르페 섬설명,99999999,100,99999999,store/block/parfait1,,,
blockPiece,파르페2,파르페 섬설명,99999999,100,99999999,store/block/parfait2,,,
blockPiece,파르페3,파르페 섬설명,99999999,100,99999999,store/block/parfait3,,,
blockPiece,파르페4,파르페 섬설명,99999999,100,99999999,store/block/parfait4,,,
blockPiece,파르페5,파르페 섬설명,99999999,100,99999999,store/block/parfait5,,,
blockPiece,파르페6,파르페 섬설명,99999999,100,99999999,store/block/parfait6,,,
blockPiece,파르페7,파르페 섬설명,99999999,100,99999999,store/block/parfait7,,,
blockPiece,파르페8,파르페 섬설명,99999999,100,99999999,store/block/parfait8,,,
blockPiece,파르페9,파르페 섬설명,99999999,100,99999999,store/block/parfait9,,,
,,,,,,,,,
blockPiece,크래커1,크래커 섬설명,99999999,100,99999999,store/block/cracker1,,,
blockPiece,크래커2,크래커 섬설명,99999999,100,99999999,store/block/cracker2,,,
blockPiece,크래커3,크래커 섬설명,99999999,100,99999999,store/block/cracker3,,,
blockPiece,크래커4,크래커 섬설명,99999999,100,99999999,store/block/cracker4,,,
blockPiece,크래커5,크래커 섬설명,99999999,100,99999999,store/block/cracker5,,,
blockPiece,크래커6,크래커 섬설명,99999999,100,99999999,store/block/cracker6,,,
blockPiece,크래커7,크래커 섬설명,99999999,100,99999999,store/block/cracker7,,,
blockPiece,크래커8,크래커 섬설명,99999999,100,99999999,store/block/cracker8,,,
blockPiece,크래커9,크래커 섬설명,99999999,100,99999999,store/block/cracker9,,,
,,,,,,,,,
blockPiece,솜사탕1,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy1,,,
blockPiece,솜사탕2,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy2,,,
blockPiece,솜사탕3,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy3,,,
blockPiece,솜사탕4,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy4,,,
blockPiece,솜사탕5,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy5,,,
blockPiece,솜사탕6,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy6,,,
blockPiece,솜사탕7,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy7,,,
blockPiece,솜사탕8,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy8,,,
blockPiece,솜사탕9,솜사탕 섬설명,99999999,100,99999999,store/block/cottoncandy9,,,
